,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
120,Eric Guest,C,KIT,16.392,43,2,2,2,4,6,31,6.45,0.05,0.05,0.05,0.09,0.14,0.72,3.4,0.08,1,7,14.29,1,6,16.67,0,18,0,49,122,40.16,3
121,Justin Pringle,LW,KGN,16.523,63,3,2,1,5,6,65,4.62,0.05,0.03,0.02,0.08,0.1,1.03,5.29,0.08,1,3,33.33,2,12,16.67,0,50,0,7,17,41.18,3
122,Grayson Ladd,D,WSR/KIT,16.542,52,0,2,4,2,6,22,0,0,0.04,0.08,0.04,0.12,0.42,0.46,0.01,0,0,0,0,0,0,0,22,0,0,0,0,3
123,Greg Meireles,RW,KIT,16.704,7,2,2,1,4,5,8,25,0.29,0.29,0.14,0.57,0.71,1.14,1.15,0.16,0,2,0,2,4,50,0,2,0,0,0,0,3
124,Michael Vukojevic,D,KIT,16.271,24,1,3,1,4,5,22,4.55,0.04,0.12,0.04,0.17,0.21,0.92,0.99,0.04,0,2,0,0,0,0,1,20,5,0,1,0,3
125,Jacob Ball,LW,NB,16.663,49,1,2,2,3,5,37,2.7,0.02,0.04,0.04,0.06,0.1,0.76,2.75,0.06,0,2,0,0,5,0,1,30,3.33,51,121,42.15,3
126,Noel Hoefenmayer,D,OTT,16.69,45,2,1,2,3,5,34,5.88,0.04,0.02,0.04,0.07,0.11,0.76,2.04,0.05,0,0,0,1,3,33.33,1,31,3.23,0,0,0,3
127,Nick Deakin-Poot,C,GUE,16.63,58,3,0,2,3,5,61,4.92,0.05,0,0.03,0.05,0.09,1.05,5.7,0.1,2,10,20,1,9,11.11,0,42,0,215,542,39.67,3
128,Declan Chisholm,D,PBO,16.677,41,1,2,2,3,5,20,5,0.02,0.05,0.05,0.07,0.12,0.49,0.8,0.02,0,0,0,0,1,0,1,19,5.26,0,1,0,3
129,Alex Gritz,C,SSM,16,37,2,1,2,3,5,33,6.06,0.05,0.03,0.05,0.08,0.14,0.89,3.02,0.08,0,6,0,1,2,50,1,25,4,5,7,71.43,3
130,Luke Moncada,LW,GUE,16.299,37,0,4,1,4,5,31,0,0,0.11,0.03,0.11,0.14,0.84,2.91,0.08,0,5,0,0,1,0,0,25,0,26,67,38.81,3
131,Dalton Duhart,C,LDN,16.657,36,3,2,0,5,5,21,14.29,0.08,0.06,0,0.14,0.14,0.58,1.84,0.05,1,2,50,0,1,0,2,18,11.11,11,20,55,3
132,Marko Jakovljevic,D,SAR,16.808,27,1,2,1,3,4,13,7.69,0.04,0.07,0.04,0.11,0.15,0.48,0.49,0.02,0,0,0,0,1,0,1,12,8.33,0,0,0,3
133,Zachary Roberts,LW,OS,16.115,10,1,2,1,3,4,10,10,0.1,0.2,0.1,0.3,0.4,1,1.05,0.1,0,0,0,0,3,0,1,7,14.29,29,65,44.62,3
134,Zach Gallant,C,PBO,16.529,51,0,2,2,2,4,39,0,0,0.04,0.04,0.04,0.08,0.76,2.9,0.06,0,7,0,0,4,0,0,28,0,178,337,52.82,3
135,Luke Boka,RW,WSR,16.26,58,3,1,0,4,4,35,8.57,0.05,0.02,0,0.07,0.07,0.6,3.96,0.07,0,2,0,1,8,12.5,2,25,8,44,105,41.9,3
136,Nate Schnarr,C,GUE,16.553,6,1,1,2,2,4,5,20,0.17,0.17,0.33,0.33,0.67,0.83,0.35,0.06,1,2,50,0,0,0,0,3,0,17,30,56.67,3
137,Ian Martin,RW,NIAG,16.633,24,2,0,2,2,4,16,12.5,0.08,0,0.08,0.08,0.17,0.67,1.47,0.06,1,1,100,1,4,25,0,11,0,1,2,50,3
138,Mike Petizian,LW,KIT,16.567,40,2,1,1,3,4,27,7.41,0.05,0.03,0.03,0.07,0.1,0.68,2.75,0.07,0,3,0,0,5,0,2,19,10.53,113,196,57.65,3
139,Owen Gilhula,C,SBY,16.348,31,2,0,2,2,4,27,7.41,0.06,0,0.06,0.06,0.13,0.87,2.04,0.07,0,2,0,2,3,66.67,0,22,0,33,84,39.29,2
140,Bradey Johnson,C,NIAG,16.729,35,0,2,2,2,4,36,0,0,0.06,0.06,0.06,0.11,1.03,2.54,0.07,0,3,0,0,2,0,0,31,0,98,209,46.89,2
141,Kevin Bahl,D,OTT,16.219,57,1,0,3,1,4,38,2.63,0.02,0,0.05,0.02,0.07,0.67,1.71,0.03,0,0,0,0,3,0,1,35,2.86,3,7,42.86,2
142,William Ennis,D,OSH,16.293,48,0,2,1,2,3,14,0,0,0.04,0.02,0.04,0.06,0.29,0.73,0.02,0,1,0,0,0,0,0,13,0,0,0,0,2
143,Hudson Wilson,D,OTT,16.37,36,1,1,1,2,3,14,7.14,0.03,0.03,0.03,0.06,0.08,0.39,0.89,0.02,0,1,0,0,0,0,1,13,7.69,0,0,0,2
144,Anthony DeMeo,D,SSM,16.249,37,0,0,3,0,3,18,0,0,0,0.08,0,0.08,0.49,0.97,0.03,0,0,0,0,0,0,0,18,0,0,0,0,2
145,Kyle Auger,D,WSR,16.701,28,1,2,0,3,3,18,5.56,0.04,0.07,0,0.11,0.11,0.64,1.33,0.05,0,1,0,0,1,0,1,16,6.25,0,0,0,2
146,Cole Fraser,D,PBO,16.063,50,0,2,1,2,3,23,0,0,0.04,0.02,0.04,0.06,0.46,1.14,0.02,0,2,0,0,0,0,0,21,0,0,0,0,2
