,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
487,Zack Malik,D,SBY/NB,17.617,61,1,12,5,13,18,70,1.39,0.015,0.19,0.08,0.205,0.295,1.15,1.185,0.035,0,2,0.0,0,0,0.0,1,68,1.43,0,0,0.0
488,Harrison Caines,LW,NB,17.583,46,8,3,7,11,18,67,11.94,0.17,0.07,0.15,0.24,0.39,1.46,4.24,0.09,1,6,16.67,1,5,20.0,6,56,10.71,5,16,31.25
489,Holden Wale,D,SSM,17.383,93,4,4,9,8,17,81,3.81,0.032,0.032,0.078,0.068,0.148,0.938,1.86,0.04,1,6,8.335,0,4,0.0,3,71,3.315,0,0,0.0
490,Liam Van Loon,LW,HAM,16.58,48,7,3,7,10,17,58,6.25,0.075,0.27,0.075,0.35,0.425,1.11,2.955,0.12,4,15,13.335,0,12,0.0,3,31,5.0,10,19,26.315
491,Liam Murray,D,KGN,19.717,131,3,6,8,9,17,130,2.29,0.025,0.045,0.06,0.07,0.13,0.995,2.435,0.04,0,0,0.0,0,4,0.0,3,126,2.36,0,1,0.0
492,Matyas Svoboda,LW,PBO,18.203,96,10,3,4,13,17,83,10.895,0.095,0.025,0.045,0.12,0.165,0.84,5.015,0.095,5,15,30.68,0,16,0.0,5,52,8.66,3,8,37.5
493,Tim Fleischer,C,HAM,17.961,60,7,6,4,13,17,69,10.14,0.12,0.1,0.07,0.22,0.28,1.15,7.24,0.12,2,13,15.38,0,19,0.0,5,37,13.51,282,575,49.04
494,Sean Allen,D,OSH/WSR,19.654,153,2,5,10,7,17,80,2.725,0.015,0.03,0.07,0.045,0.115,0.535,1.082,0.02,1,3,8.332,0,2,0.0,1,75,1.85,0,0,0.0
495,Duncan Penman,D,SAG/MISS,16.697,104,6,4,7,10,17,95,6.645,0.055,0.035,0.065,0.095,0.16,0.92,1.47,0.03,0,0,0.0,0,2,0.0,6,93,6.805,0,1,0.0
496,Lev Starikov,D,WSR,17.494,98,7,3,7,10,17,118,5.79,0.07,0.025,0.07,0.09,0.16,1.195,2.54,0.05,1,5,25.0,3,5,75.0,3,108,2.025,0,0,0.0
497,Evan Vierling,C,FLNT,16.239,52,5,7,4,12,16,80,6.25,0.1,0.13,0.08,0.23,0.31,1.54,6.89,0.13,3,11,27.27,2,20,10.0,0,49,0.0,129,335,38.51
498,Avery Hayes,RW,HAM,15.932,57,6,6,4,12,16,78,7.69,0.11,0.11,0.07,0.21,0.28,1.37,6.04,0.11,2,11,18.18,3,12,25.0,1,55,1.82,5,20,25.0
499,Tyson Foerster,C,BAR,16.657,55,5,2,9,7,16,48,10.42,0.09,0.04,0.16,0.13,0.29,0.87,3.37,0.06,1,3,33.33,1,8,12.5,3,37,8.11,43,100,43.0
