,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1294,Nic Pierog,F,PRO,25.454,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1295,Greg Wolfe,C,BNG,28.392,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1296,Logan Roe,D,MB,26.714,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297,Nikita Popugaev,LW,BNG,19.82,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
1298,Mike Szmatula,C,STK,26.098,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1299,Michael Fora,D,CHA,22.878,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1300,Travis Howe,RW,TUC,24.595,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,Jordan Ernst,LW,STK,21.243,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,Yasin Ehliz,RW,STK,25.709,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.75
1303,Jeremy Morin,RW,HER,27.417,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1304,Jeremy Beaudry,D,BAK,24.756,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1305,Peter Sivak,RW,SD,36.488,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1306,Ryan Tesink,LW,SD/SA,25.32,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1307,Matthew Lane,C,MIL,24.504,11,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.73
1308,Adam Gilmour,C,SPR,24.627,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,Carl Gunnarsson,D,SA,31.85,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1310,Radovan Bondra,RW,RFD,21.632,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1311,Braylon Shmyr,F,SPR,21.334,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1312,Myles Powell,RW/C,RCH/ROC,23.646,10,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.415
1313,Connor Moynihan,LW,RFD,21.156,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314,Ivan Kosorenkov,RW,SJ,20.647,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1315,Willie Raskob,D,STK,23.508,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316,Jack Glover,D,MB,22.33,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
